round,arm,trajectories,calls,inputTokens,cachedInputTokens,outputTokens,reasoningTokens,callSeconds,trajectorySeconds
i05-budget-sensitivity,reuse_b__none,5,13,1154818,0,26182,4965,195.06328299999998,292.17175499999996
i05-budget-sensitivity,reuse_b__overview,5,9,812737,0,19894,2778,140.20703600000004,216.619446
i05-budget-sensitivity,reuse_b__requirements,5,21,1930345,0,30528,8045,273.10385899999994,441.747325
i05-budget-sensitivity,reuse_sb__boundaries,5,13,1698651,0,26571,3546,215.89484699999997,306.108918
i05-budget-sensitivity,reuse_sb__none,5,8,1013380,0,18621,2845,150.28987,228.04105299999998
i05-budget-sensitivity,reuse_sb__overview,5,7,901534,0,21293,2898,143.25070300000002,213.43381500000004
i05-budget-sensitivity,reuse_sb__requirements,5,13,1688142,0,22030,4624,189.763417,319.898327
i06-operational-guards,generation_s__boundaries,5,7,567140,0,18484,2667,141.903781,210.583955
i06-operational-guards,generation_s__none,5,8,634182,0,19257,2641,145.135796,211.464726
i06-operational-guards,generation_s__operations,5,14,1165631,0,25245,5809,225.285839,358.97226
i06-operational-guards,generation_s__requirements,5,12,992941,0,28974,4627,201.82891600000002,289.28983000000005
i06-operational-guards,generation_sfb__boundaries,5,10,1743060,0,28824,4575,200.55368199999998,278.206168
i06-operational-guards,generation_sfb__none,5,9,1548601,0,19813,2974,142.35878100000002,215.36190900000003
i06-operational-guards,generation_sfb__operations,5,13,2286332,0,27190,3941,197.431213,309.36899600000004
i06-operational-guards,generation_sfb__requirements,5,17,2974297,0,23679,5683,208.255733,356.252037
i06-operational-guards,reuse_b__boundaries,5,12,1103340,0,23806,2844,166.23618699999997,263.846
i06-operational-guards,reuse_b__none,5,14,1251809,0,26717,4018,195.83012100000002,304.240747
i06-operational-guards,reuse_b__operations,5,17,1571562,0,34455,5318,256.182268,352.27360600000003
i06-operational-guards,reuse_b__requirements,5,14,1275412,0,24965,5056,204.07327300000003,334.11426800000004
i06-operational-guards,reuse_sb__boundaries,5,9,1164027,0,16432,2058,130.139833,219.350446
i06-operational-guards,reuse_sb__none,5,6,756801,0,15360,2235,106.543407,171.968749
i06-operational-guards,reuse_sb__operations,5,17,2241339,0,31745,6542,252.63734000000002,404.1703749999999
i06-operational-guards,reuse_sb__requirements,5,11,1428262,0,21344,4212,163.77925199999999,257.30572600000005
i07-operational-replication,generation_s__boundaries,5,9,746634,0,25596,4338,176.841383,239.96167400000002
i07-operational-replication,generation_s__none,5,13,1047524,0,26791,3870,182.58467800000003,277.331566
i07-operational-replication,generation_s__operations,5,13,1081141,0,25320,4079,186.20495599999998,281.490063
i07-operational-replication,generation_s__requirements,5,15,1232459,0,24534,5275,196.74462600000004,321.120898
i07-operational-replication,generation_sfb__boundaries,5,5,862040,0,16101,2172,100.22984100000001,151.1485
i07-operational-replication,generation_sfb__none,5,5,852175,0,15113,2019,98.34892099999999,153.137611
i07-operational-replication,generation_sfb__operations,5,15,2639709,0,28786,4810,226.933229,353.61137199999996
i07-operational-replication,generation_sfb__requirements,5,16,2802790,0,25196,4499,218.30799499999995,327.21824499999997
i07-operational-replication,reuse_b__boundaries,5,14,1278482,0,21004,3324,175.855061,302.00220699999994
i07-operational-replication,reuse_b__none,5,14,1253327,0,24472,4834,194.280846,285.842898
i07-operational-replication,reuse_b__operations,5,18,1668546,0,32291,5234,244.56177599999998,364.880074
i07-operational-replication,reuse_b__requirements,5,18,1659869,0,29073,5283,229.25530000000003,366.26127199999996
i07-operational-replication,reuse_sb__boundaries,5,8,1033019,0,17533,2525,124.93989400000001,210.653323
i07-operational-replication,reuse_sb__none,5,6,756637,0,15705,2289,108.48916299999999,168.137334
i07-operational-replication,reuse_sb__operations,5,18,2369701,0,30957,5366,248.71424299999998,385.563699
i07-operational-replication,reuse_sb__requirements,5,16,2092097,0,30444,4985,229.581255,331.914487
i09-generic-acquisition,generation_s__catalog,5,6,477236,78823,16579,2330,118.967983,231.52794899999998
i09-generic-acquisition,generation_s__none,5,10,799015,0,17425,2655,142.26235799999998,399.741086
i09-generic-acquisition,generation_s__requirements,5,13,1064720,0,25930,3762,209.0109,444.78125800000004
i09-generic-acquisition,generation_s__task_only,5,9,733547,79755,20157,2729,155.749441,352.308951
i09-generic-acquisition,reuse_sb__catalog,5,9,1165183,127504,18693,2953,163.110319,337.37532899999997
i09-generic-acquisition,reuse_sb__none,5,10,1279768,125440,19885,2886,158.817071,323.76318399999997
i09-generic-acquisition,reuse_sb__requirements,5,11,1426626,127342,21646,3591,186.678322,408.94984200000005
i09-generic-acquisition,reuse_sb__task_only,5,12,1559214,127033,28187,3567,220.726652,385.17388700000004
i10-agentic-delivery,generation_s__agentic__adaptive,5,45,4617922,0,31508,6203,381.6295769999999,481.52306899999996
i10-agentic-delivery,generation_s__agentic__none,5,40,3663266,0,28576,5211,343.781671,415.222584
i10-agentic-delivery,generation_s__agentic__static,5,38,3799123,0,40776,7651,443.5801500000001,546.458161
i10-agentic-delivery,generation_s__single_shot__none,5,7,551217,0,17948,2726,145.949849,195.53744899999998
i10-agentic-delivery,generation_s__single_shot__static,5,23,2062459,0,39822,8394,364.18873399999995,491.559669
i10-agentic-delivery,reuse_sb__agentic__adaptive,5,38,5754992,0,33935,6635,398.3982619999999,467.39489799999996
i10-agentic-delivery,reuse_sb__agentic__none,5,36,5260883,0,27272,5170,364.71281600000003,433.625292
i10-agentic-delivery,reuse_sb__agentic__static,5,43,6730438,0,34672,7643,436.001045,508.907307
i10-agentic-delivery,reuse_sb__single_shot__none,5,6,757076,0,15096,1819,125.07660199999998,176.110816
i10-agentic-delivery,reuse_sb__single_shot__static,5,13,1775132,0,25517,4481,221.50358799999998,315.424127
i11-symbol-sidecar,generation_s__agentic__adaptive,3,26,2533030,0,23390,4415,272.73797900000005,336.670932
i11-symbol-sidecar,generation_s__single_shot__none,3,5,397259,0,9535,1308,80.978667,126.63090300000002
i11-symbol-sidecar,generation_s__single_shot__static,3,11,943318,0,16280,2769,146.96854,228.686816
i12-gate-sidecar,generation_s__agentic__gate,3,27,2676739,0,47408,6077,368.55826800000006,471.266214
i12-gate-sidecar,generation_s__agentic__none,3,12,1093179,0,11491,2347,118.370395,143.794444
i13-shadow-gate,generation_s__agentic__gate,6,28,2639236,0,26658,4714,282.764221,403.293715
i14-coach-gate,generation_s__agentic__coach,3,14,1307757,0,15110,2330,152.73084199999997,214.586729
i14-coach-gate,generation_s__agentic__gate_once,3,22,2191796,0,29730,4091,251.74068500000004,375.641308
i14-coach-gate,generation_s__agentic__none,3,13,1209097,0,13238,2213,139.230176,165.15202
i15-rewind,generation_s__agentic__none,3,19,1770031,0,17896,3416,198.402437,226.742382
i15-rewind,generation_s__agentic__rewind,3,35,3244734,0,35286,5529,356.574597,478.15282
i16-compact-confirmation,generation_s__single_shot__none,5,8,633753,0,20522,2852,142.71462400000001,203.394103
i16-compact-confirmation,generation_s__single_shot__static,5,0,0,0,0,0,0.0,18.366442
i16-compact-confirmation,reuse_sb__single_shot__none,5,7,886774,0,20474,2383,143.33040799999998,188.40466100000003
i16-compact-confirmation,reuse_sb__single_shot__static,5,17,2244369,0,28517,5595,251.534358,381.776961
i16b-gen-compact,generation_s__single_shot__none,5,7,552026,0,16295,2529,132.36991799999998,249.80122899999998
i16b-gen-compact,generation_s__single_shot__static,5,18,1543443,0,28493,6012,265.81022399999995,495.76073799999995
i17-nofb,generation_s__single_shot__none,5,6,471314,0,17108,2712,158.159859,317.93741900000003
i17-nofb,generation_s__single_shot__static,5,18,1536507,0,32001,5486,330.98635299999995,579.4780210000001
i18-nofb-reuse,reuse_sb__single_shot__none,5,11,1406556,0,22539,3461,211.56303300000005,315.826852
i18-nofb-reuse,reuse_sb__single_shot__static,5,12,1569711,0,25747,4705,242.939701,366.008625
i19-v9,generation_s__single_shot__none,5,7,553176,0,17630,2690,155.961082,232.302181
i19-v9,generation_s__single_shot__static,5,20,1697473,0,32260,5857,343.437666,522.0767639999999
i19-v9,reuse_sb__single_shot__none,5,10,1275799,0,16738,2672,188.840866,296.915892
i19-v9,reuse_sb__single_shot__static,5,17,2250312,0,27291,6065,289.13232,437.237988
i20-v10,generation_s__single_shot__none,5,10,794735,0,18418,2855,198.560715,314.634201
i20-v10,generation_s__single_shot__static,5,10,834148,0,23713,3259,207.376438,289.454688
i20-v10,reuse_sb__single_shot__none,5,13,1665507,0,23143,3581,216.80365,329.521744
i20-v10,reuse_sb__single_shot__static,5,11,1433383,0,21382,3535,221.327047,334.636984
i21a-var,generation_s__single_shot__none,3,7,557395,0,13866,2355,127.68763900000002,173.17431800000003
i21a-var,generation_s__single_shot__static,3,8,669047,0,15378,2020,133.72600200000002,216.90448600000002
i21a-var,reuse_sb__single_shot__none,3,4,505530,0,9526,1147,98.526287,151.869796
i21a-var,reuse_sb__single_shot__static,3,8,1054891,0,15459,3149,161.45154700000003,243.670452
i21b-var,generation_s__single_shot__none,3,3,233721,0,9363,1084,76.904495,109.436407
i21b-var,generation_s__single_shot__static,3,5,410147,0,11204,1827,109.762867,171.48548
i21b-var,reuse_sb__single_shot__none,3,4,506143,0,9994,1279,84.52302999999999,116.37759
i21b-var,reuse_sb__single_shot__static,3,5,648186,0,13188,1548,109.134087,144.479323
i22-oneshot,generation_s__single_shot__none,5,5,389535,0,15922,2021,124.654074,177.19800800000002
i22-oneshot,generation_s__single_shot__static,5,5,407750,0,16429,2041,143.38193800000002,167.454577
i22-oneshot,reuse_sb__single_shot__none,5,5,627850,0,16019,2303,140.293387,151.770434
i22-oneshot,reuse_sb__single_shot__static,5,5,641375,0,15653,2058,122.14625500000001,147.751014
i23-matrix,generation_b__single_shot__none,5,5,417160,0,74286,18061,522.159328,522.173143
i23-matrix,generation_f__single_shot__none,5,5,432940,0,35749,14866,301.535975,318.22351100000003
i23-matrix,generation_fb__single_shot__none,5,5,656370,0,30795,14387,266.23285599999997,288.248092
i23-matrix,generation_none__single_shot__none,5,5,193730,0,41142,16091,351.707063,381.594218
i23-matrix,generation_s__single_shot__none,5,5,389535,0,32582,15348,288.61364100000003,317.889969
i23-matrix,generation_sb__single_shot__none,5,5,612965,0,96096,15458,588.858782,617.449262
i23-matrix,generation_sf__single_shot__none,5,5,628745,0,33670,15370,291.28504399999997,323.10779
i23-matrix,generation_sfb__single_shot__none,5,5,852175,0,51748,15097,380.003283,410.757647
i23-matrix,reuse_b__single_shot__none,5,5,432045,0,71684,19322,511.66410900000005,536.908751
i23-matrix,reuse_f__single_shot__none,5,5,447825,0,34987,14568,291.630308,331.404834
i23-matrix,reuse_fb__single_shot__none,5,5,671255,0,42274,16514,356.325217,378.956184
i23-matrix,reuse_none__single_shot__none,5,5,208615,0,45252,22371,396.297643,406.707698
i23-matrix,reuse_s__single_shot__none,5,5,404420,0,37873,16800,341.754963,374.026519
i23-matrix,reuse_sb__single_shot__none,5,5,627850,0,36758,15533,311.99317399999995,342.26047900000003
i23-matrix,reuse_sf__single_shot__none,5,5,643630,0,72491,15167,481.385885,509.843632
i23-matrix,reuse_sfb__single_shot__none,5,5,867060,0,63750,14611,446.05101499999995,488.332681
i24a-high,generation_none__single_shot__none,5,5,193730,0,40865,20482,420.359641,458.971773
i24a-high,generation_none__single_shot__static,5,5,200985,0,39954,16634,476.85505,527.490867
i24a-high,generation_s__single_shot__none,5,5,389535,0,41458,18411,423.396795,476.76316199999997
i24a-high,generation_s__single_shot__static,5,5,396790,0,60767,18882,526.741752,541.0324039999999
i24a-high,generation_sfb__single_shot__none,5,5,852175,0,36695,14152,379.802785,410.890013
i24a-high,generation_sfb__single_shot__static,5,5,859430,171756,43596,16199,714.6297610000001,746.185078
i24a-high,reuse_f__single_shot__none,5,5,447825,0,38253,11611,410.87933200000003,426.91481000000005
i24a-high,reuse_f__single_shot__static,5,5,455190,0,51890,18759,476.274918,505.0429250000001
i24a-high,reuse_sfb__single_shot__none,5,5,867060,0,37238,16031,384.27547000000004,421.954942
i24a-high,reuse_sfb__single_shot__static,5,5,874425,0,48850,19595,466.177019,480.363301
i24b-full,generation_none__single_shot__none,5,5,193730,0,38973,19436,438.475216,480.036478
i24b-full,generation_none__single_shot__static,5,5,239270,0,60449,18875,602.453685,689.665211
i24b-full,generation_s__single_shot__none,5,5,389535,0,50028,15387,478.27888399999995,490.764834
i24b-full,generation_s__single_shot__static,5,5,435075,0,41923,16405,465.976947,564.486762
i24b-full,generation_sfb__single_shot__none,5,5,852175,0,38871,16301,425.526988,469.575124
i24b-full,generation_sfb__single_shot__static,5,5,897715,0,34894,15697,429.782801,438.91592900000006
i24b-full,reuse_f__single_shot__none,5,5,447825,0,41710,14946,423.86465799999996,453.447685
i24b-full,reuse_f__single_shot__static,5,5,479350,0,44899,18209,485.69760099999996,509.050063
i24b-full,reuse_sfb__single_shot__none,5,5,867060,0,33023,12578,369.065911,428.464077
i24b-full,reuse_sfb__single_shot__static,5,5,898585,0,43047,17941,528.922674,594.3975409999999
i24c-generic,generation_none__single_shot__none,5,5,193730,0,44187,22318,563.939757,609.70916
i24c-generic,generation_none__single_shot__static,5,5,201535,0,43066,18863,535.420236,571.2246869999999
i24c-generic,generation_s__single_shot__none,5,5,389535,0,46849,17162,527.567237,556.87091
i24c-generic,generation_s__single_shot__static,5,5,397340,0,44982,18533,547.1283139999999,587.060537
i24c-generic,generation_sfb__single_shot__none,5,5,852175,0,36576,15122,445.694264,472.965342
i24c-generic,generation_sfb__single_shot__static,5,5,859980,171866,63062,20783,985.626363,1014.467259
i24c-generic,reuse_f__single_shot__none,5,5,447825,0,47016,18165,543.135984,566.01071
i24c-generic,reuse_f__single_shot__static,5,5,453960,0,44201,20099,549.903638,569.720005
i24c-generic,reuse_sfb__single_shot__none,5,5,867060,0,27643,10423,564.32338,583.51234
i24c-generic,reuse_sfb__single_shot__static,5,5,873195,0,43972,18766,531.104928,553.0331070000001
i25-lenient,generation_b__single_shot__none,5,5,417160,0,42101,19491,427.109351,457.108651
i25-lenient,generation_f__single_shot__none,5,5,432940,0,33360,14213,340.211253,386.603675
i25-lenient,generation_fb__single_shot__none,5,5,656370,0,94133,15207,692.4688039999999,754.4655730000001
i25-lenient,generation_none__single_shot__none,5,5,193730,0,58733,17528,495.521519,512.3269849999999
i25-lenient,generation_s__single_shot__none,5,5,389535,0,69254,16052,560.1377600000001,613.360815
i25-lenient,generation_sb__single_shot__none,5,5,612965,0,34830,15068,354.867175,404.542639
i25-lenient,generation_sf__single_shot__none,5,5,628745,0,40560,14686,383.14342,414.048195
i25-lenient,generation_sfb__single_shot__none,5,5,852175,0,70661,15333,557.542394,586.1584349999999
i25-lenient,reuse_b__single_shot__none,5,5,432045,0,37204,17868,461.25801799999994,505.314997
i25-lenient,reuse_f__single_shot__none,5,5,447825,0,29309,12201,802.151765,811.296059
i25-lenient,reuse_fb__single_shot__none,5,5,671255,0,28581,11634,366.997461,411.55194200000005
i25-lenient,reuse_none__single_shot__none,5,5,208615,0,40481,20302,419.60559800000004,432.94883500000003
i25-lenient,reuse_s__single_shot__none,5,5,404420,0,46028,13752,441.743921,467.347811
i25-lenient,reuse_sb__single_shot__none,5,5,627850,0,55565,17547,484.490054,507.806742
i25-lenient,reuse_sf__single_shot__none,5,5,643630,0,36353,16298,371.98269,406.644125
i25-lenient,reuse_sfb__single_shot__none,5,5,867060,0,35978,15854,368.24994999999996,424.403146
i26-graph,generation_s__agentic__ast,2,17,1540083,0,22133,8514,330.99952900000005,350.08936500000004
i26-graph,generation_s__agentic__none,2,16,1583149,0,21075,7677,306.71208399999995,325.768903
i26-graph,generation_s__agentic__static-ast-guard,2,63,3492462,0,86360,19108,811.343214,1160.600333
i26-graph,generation_s__agentic__static-ast,2,15,1518172,0,22589,6764,313.434115,331.965573
i26-graph,generation_s__agentic__static-guard,2,63,3273361,0,68744,19242,655.20154,953.050999
i26-graph,generation_s__agentic__static,2,15,1567205,112241,21746,7315,613.8055810000001,645.346202
i27-graph,generation_s__agentic__none,3,22,2092375,0,25992,10976,400.74206900000013,425.569835
i27-graph,generation_s__agentic__static-ast-advise,3,24,1743634,0,29687,8798,361.96318199999996,430.29449900000003
i27-graph,generation_s__agentic__static-ast-guard,3,59,4159634,0,58179,17816,703.666507,897.267077
i27-graph,generation_s__agentic__static-ast,3,26,2707553,0,37786,14564,605.0518419999999,629.584901
i27-graph,generation_s__agentic__static,3,16,1674950,0,22356,7877,321.6815859999999,352.64403100000004
i28-graph,generation_s__agentic__none,5,46,4333094,0,48305,19805,634.4677799999998,700.115502
i28-graph,generation_s__agentic__static-ast-advise,5,90,5674895,0,66920,20049,651.343997,991.331947
i28-graph,generation_s__agentic__static-ast-guard,5,88,5042448,0,98171,28764,839.4049610000001,1181.38099
i28-graph,generation_s__agentic__static-ast,5,41,4331622,0,64912,22395,725.1819119999999,780.255546
i28-graph,generation_s__agentic__static,5,41,4285743,0,49166,15074,570.706069,624.542786
i28-graph,reuse_sb__agentic__none,5,41,6027380,143383,55509,18978,650.1339620000001,692.291138
i28-graph,reuse_sb__agentic__static-ast-advise,5,77,9656840,0,71822,31141,853.6913250000001,1073.491315
i28-graph,reuse_sb__agentic__static-ast-guard,5,94,8994452,0,98195,32374,934.6347889999997,1251.2164320000002
i28-graph,reuse_sb__agentic__static-ast,5,36,5565211,299440,53018,19615,606.5061619999999,657.0610979999999
i28-graph,reuse_sb__agentic__static,5,42,6519219,149688,71470,21594,759.0574740000001,819.719835
i29-v11,generation_s__agentic__none,5,39,3624915,0,57758,21955,610.429105,658.417064
i29-v11,generation_s__agentic__static-guard,5,75,4700836,0,80856,23565,714.7386079999999,941.711554
i29-v11,generation_s__agentic__static,5,41,4075738,0,49068,17399,566.466581,609.5876069999999
i29-v11,reuse_sb__agentic__none,5,38,5615641,0,54682,18979,618.6471119999999,655.6375089999999
i29-v11,reuse_sb__agentic__static-guard,5,76,7812807,0,84929,29702,784.856513,1016.4746140000001
i29-v11,reuse_sb__agentic__static,5,35,5679865,0,52221,20994,568.4052360000001,614.2353019999999
i30-v12,generation_s__agentic__none,5,47,4414134,0,43788,19257,572.9461130000002,621.492136
i30-v12,generation_s__agentic__static-guard,5,78,5496040,0,86745,33257,783.262221,1014.46698
i30-v12,generation_s__agentic__static,5,32,3188898,0,49121,15551,491.1008349999998,532.915538
i30-v12,reuse_sb__agentic__none,5,38,5615684,0,44964,17677,527.202046,566.609457
i30-v12,reuse_sb__agentic__static-guard,5,71,5403159,0,92791,28451,710.8682690000002,960.647376
i30-v12,reuse_sb__agentic__static,5,36,5540427,0,46777,14479,492.95154899999994,531.159367
i31-v13,generation_s__agentic__none,5,37,3430260,0,39015,17487,484.71029599999997,523.703886
i31-v13,generation_s__agentic__static-guard,5,99,5941375,0,101293,27978,802.582002,1140.015379
i31-v13,generation_s__agentic__static,5,34,3328138,0,43426,16407,484.3685909999999,540.767102
i31-v13,reuse_sb__agentic__none,5,33,4806819,0,49706,21147,567.8270240000002,616.9946120000001
i31-v13,reuse_sb__agentic__static-guard,5,95,8068773,0,100804,35462,841.9186619999998,1230.233309
i31-v13,reuse_sb__agentic__static,5,44,6954371,0,75895,22891,750.8459759999997,805.8467400000001
i32a-s1,generation_s__single_shot__static,5,5,400025,0,48242,23062,429.589936,541.163273
i32a-s1,reuse_sb__single_shot__static,5,5,637665,0,43752,18944,385.209481,460.39274
i32b-s2,generation_s__single_shot__none,5,5,389535,0,71801,16679,486.672294,537.050038
i32b-s2,generation_s__single_shot__static,5,5,419650,0,43028,17871,359.901789,442.891128
i32b-s2,reuse_sb__single_shot__none,5,5,627850,0,100170,17657,642.8602040000001,677.81412
i32b-s2,reuse_sb__single_shot__static,5,5,659150,0,43852,20097,383.75083300000006,460.28325700000005
i32c-s3,generation_s__single_shot__static,5,5,398150,0,48887,17714,386.862415,421.639959
i32c-s3,reuse_sb__single_shot__static,5,5,633925,0,42554,18553,371.257568,490.649816
i33a-s1,generation_s__agentic__static,5,43,4232770,0,54071,21257,657.9653930000001,786.490497
i33a-s1,reuse_sb__agentic__static,5,37,5561817,0,67184,24418,727.667656,830.1376989999999
i33b-s3,generation_s__agentic__static,5,49,4676139,0,65899,18656,706.2300200000002,810.1549490000001
i33b-s3,reuse_sb__agentic__static,5,34,5049796,0,71745,17265,656.093664,783.457996
a01-bootstrap,generation_s__agentic__none,3,32,3569191,0,37965,17317,529.0765319999999,635.259174
a01-bootstrap,reuse_sb__agentic__none,3,34,5460140,164689,48674,21864,953.3265569999998,1055.103056
a02a-s1,generation_s__single_shot__static,5,5,459360,0,56732,24916,496.78972099999993,509.519943
a02a-s1,reuse_sb__single_shot__static,5,5,691255,0,68619,25606,565.000854,582.8516870000001
a02b-s2,generation_s__single_shot__none,5,5,450935,0,48136,22701,454.122758,472.03972999999996
a02b-s2,generation_s__single_shot__static,5,5,486205,0,51937,25517,513.963122,531.207677
a02b-s2,reuse_sb__single_shot__none,5,5,682600,0,57938,25667,536.298364,542.6351139999999
a02b-s2,reuse_sb__single_shot__static,5,5,716405,0,67236,28961,610.872899,610.906999
a02c-s3,generation_s__single_shot__static,5,5,459135,0,57562,29080,537.023762,557.481709
a02c-s3,reuse_sb__single_shot__static,5,5,689675,0,58902,30188,531.211897,550.972395
a03a-none,generation_s__agentic__none,5,46,5062294,0,85951,33118,914.5173349999999,1031.948481
a03a-none,reuse_sb__agentic__none,5,57,9401541,0,122771,43050,1240.290493,1376.237946
a03b-s1,generation_s__agentic__static,4,40,4436351,0,71996,29533,767.7847710000001,840.878463
a03b-s1,reuse_sb__agentic__static,5,46,7635295,0,100267,46176,1056.1738639999999,1191.131958
a03c-s2,generation_s__agentic__static,5,53,6165712,0,74812,30238,874.213113,1005.671504
a03c-s2,reuse_sb__agentic__static,5,54,9263608,0,117042,42015,1171.2585010000003,1320.333695
a03e-guard,generation_s__agentic__static-guard,5,100,8217291,0,154855,57141,1407.5734799999998,1764.632961
a03e-guard,reuse_sb__agentic__static-guard,5,115,11557080,0,138036,58413,1299.587099,1822.6865639999999
