runId,condition,repetition,status,functionalSuccess,finalSubmission,compilation,class,rejectsNullName,mechanism,nullNameTestsFailed,failingChecks,citedLines
i16-compact-confirmation__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,1,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:40: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:41: if (name.length() == 0) name = ""Player""; | ApoMarioHighscore.java:92: String name = chosen.getTeamName(); | ApoMarioHighscore.java:93: if (name == null || name.trim().length() == 0) name = ""Player"";"
i16-compact-confirmation__reuse_sb__single_shot__none__r2,reuse_sb__single_shot__none,2,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:32: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:33: if (name.length() == 0) name = ""Player""; | ApoMarioHighscore.java:65: String name = player.getTeamName(); | ApoMarioHighscore.java:66: if (name == null || name.trim().length() == 0) name = ""Human"";"
i16-compact-confirmation__reuse_sb__single_shot__none__r3,reuse_sb__single_shot__none,3,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:36: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:37: if (name.length() == 0) name = ""Player""; | ApoMarioHighscore.java:59: String name = best.getTeamName(); | ApoMarioHighscore.java:60: if (name == null || name.trim().length() == 0) name = ""Player"";"
i16-compact-confirmation__reuse_sb__single_shot__none__r4,reuse_sb__single_shot__none,4,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:41: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:77: String name = player.getTeamName(); | ApoMarioHighscore.java:78: if (name == null || name.trim().length() == 0) name = ""Player"";"
i16-compact-confirmation__reuse_sb__single_shot__none__r5,reuse_sb__single_shot__none,5,completed,True,3,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:33: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:34: if (name.length() == 0) name = ""Player""; | ApoMarioHighscore.java:45: String name = player.getTeamName(); | ApoMarioHighscore.java:46: if ((name == null || name.trim().length() == 0) && player.getAi() != null) name = player.getAi().getTeamName();"
i16-compact-confirmation__reuse_sb__single_shot__static__r1,reuse_sb__single_shot__static,1,budget_exhausted,False,5,pass,skip_on_null,pass,skipped_at_hook,2,recordedSurvivalTimeIsTheRealElapsedTime secondRunAlsoRecordedAndBoardSortedDescending,"ApoMarioHighscore.java:65: if (selected == null || selected.getTeamName() == null) return; | ApoMarioHighscore.java:67: if (storeRun(selected.getPoints(), elapsed, selected.getTeamName())) persistAcrossRuns();"
i16-compact-confirmation__reuse_sb__single_shot__static__r2,reuse_sb__single_shot__static,2,completed,True,2,pass,fallback,pass,recorded,0,,"ApoMarioHighscore.java:144: String name = player.getTeamName(); | ApoMarioHighscore.java:145: if (name == null || name.trim().length() == 0) name = ""Human"";"
i16-compact-confirmation__reuse_sb__single_shot__static__r3,reuse_sb__single_shot__static,3,completed,True,3,pass,fallback,pass,recorded,0,,"ApoMarioHighscore.java:45: try{Path parent=store.toAbsolutePath().getParent();if(parent!=null)Files.createDirectories(parent);tmp=Files.createTempFile(parent,""apomario-highscore-"","".tmp"");DataOutputStream out=new DataOutputStream(Files.newOutputStream(tmp));out.writeInt(MAGIC);out.writeInt(VERSION);out.writeInt(rows.size());for(Row x:rows){out.writeUTF(x.name);out.writeInt(x.score);out.writeInt(x.time);}out.close();Files.move(tmp,store,StandardCopyOption.REPLACE_EXISTING);}catch(Exception e){if(tmp!=null)try{Files.deleteIfExists(tmp);}catch(IOException ignored){}} | ApoMarioHighscore.java:47: public synchronized void recordRunEnd(ApoMarioLevel level){if(level==null||level.getPlayers()==null||level.getPlayers().isEmpty())return;ApoMarioPlayer p=level.getPlayers().get(0);if(p==null)return;String n=p.getTeamName();if(n==null||n.trim().length()==0)n=""Player"";storeRun(p.getPoints(),level.getPassedTime(),n);}"
i16-compact-confirmation__reuse_sb__single_shot__static__r4,reuse_sb__single_shot__static,4,budget_exhausted,False,5,pass,skip_on_null,pass,skipped_at_hook,2,recordedSurvivalTimeIsTheRealElapsedTime secondRunAlsoRecordedAndBoardSortedDescending,"ApoMarioHighscore.java:94: if (chosen == null || chosen.getTeamName() == null) return; | ApoMarioHighscore.java:96: if (storeRun(chosen.getPoints(), elapsed, chosen.getTeamName())) persistAcrossRuns();"
i16-compact-confirmation__reuse_sb__single_shot__static__r5,reuse_sb__single_shot__static,5,completed,True,2,pass,fallback,pass,recorded,0,,"ApoMarioHighscore.java:65: String name = selected.getTeamName(); | ApoMarioHighscore.java:66: if (name == null || name.trim().length() == 0) name = ""Player"";"
