runId,condition,repetition,status,functionalSuccess,finalSubmission,compilation,class,rejectsNullName,mechanism,nullNameTestsFailed,failingChecks,citedLines
i30-v12__generation_s__agentic__static__r4,generation_s__agentic__static,4,completed,True,2,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:69: String name = selected.getTeamName();
i30-v12__generation_s__agentic__static__r5,generation_s__agentic__static,5,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:75: String name = validName(player.getTeamName());
i30-v12__reuse_sb__agentic__none__r1,reuse_sb__agentic__none,1,completed,True,2,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:48: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:77: String name = selected.getTeamName();"
i30-v12__reuse_sb__agentic__none__r2,reuse_sb__agentic__none,2,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:33: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:92: storeRun(best.getPoints(), level.getPassedTime(), best.getTeamName());"
i30-v12__reuse_sb__agentic__none__r3,reuse_sb__agentic__none,3,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:38: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:100: String name = best.getTeamName();"
i30-v12__reuse_sb__agentic__none__r4,reuse_sb__agentic__none,4,completed,True,2,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:34: String name = playerName == null ? ""Unknown"" : playerName.trim(); | ApoMarioHighscore.java:77: String name = best.getTeamName(); | ApoMarioHighscore.java:79: name = best.getAi() == null ? ""Human"" : best.getAi().getTeamName();"
i30-v12__reuse_sb__agentic__none__r5,reuse_sb__agentic__none,5,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:52: String name = playerName == null ? ""Unknown"" : playerName.trim(); | ApoMarioHighscore.java:111: String name = selected.getTeamName(); | ApoMarioHighscore.java:113: name = selected.getAi().getTeamName();"
i30-v12__reuse_sb__agentic__static-guard__r1,reuse_sb__agentic__static-guard,1,completed,True,2,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:97: String candidate = player.getTeamName();
i30-v12__reuse_sb__agentic__static-guard__r2,reuse_sb__agentic__static-guard,2,completed,True,2,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:114: String candidate = validName(selected.getTeamName());
i30-v12__reuse_sb__agentic__static-guard__r3,reuse_sb__agentic__static-guard,3,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:132: name = selected.getTeamName();
i30-v12__reuse_sb__agentic__static-guard__r4,reuse_sb__agentic__static-guard,4,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:139: String candidateName = selected.getTeamName();
i30-v12__reuse_sb__agentic__static-guard__r5,reuse_sb__agentic__static-guard,5,completed,True,2,pass,fallback,pass,recorded,0,,"ApoMarioHighscore.java:116: name = selected.getTeamName(); | ApoMarioHighscore.java:144: return name == null ? ""Player"" : name;"
i30-v12__reuse_sb__agentic__static__r1,reuse_sb__agentic__static,1,completed,True,3,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:92: String candidate = validName(selected.getTeamName());
i30-v12__reuse_sb__agentic__static__r2,reuse_sb__agentic__static,2,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:128: String candidateName = selected.getTeamName();
i30-v12__reuse_sb__agentic__static__r3,reuse_sb__agentic__static,3,completed,True,1,pass,fallback,pass,recorded,0,,"ApoMarioHighscore.java:86: String name = best == null ? ""Player"" : best.getTeamName(); | ApoMarioHighscore.java:87: if (normaliseName(name) == null) name = ""Player"";"
i30-v12__reuse_sb__agentic__static__r4,reuse_sb__agentic__static,4,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:106: name = selected.getTeamName();
i30-v12__reuse_sb__agentic__static__r5,reuse_sb__agentic__static,5,completed,True,2,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:65: name = selected.getTeamName();
